아폴로 게스트하우스	0	2.5	8.2	217169.0	0	-2891.7504	73821.0882
나이아가라 호텔	0	2.5	8.0	127662.0	0	2886.4631	107297.4753
호텔스타 프리미어 역삼	0	2.5	6.8	0.0	0	-327.8102	238699.6196
호텔 스타	0	2.5	7.0	0.0	1	2110.3948	122856.3538
스테이호텔 강남	0	2.5	8.4	0.0	0	2156.5634	202108.2419
강남 세븐 호스텔	0	2.0	9.4	164823.0	0	2525.0031	47445.8770
호텔 부티크나인 능동	0	2.5	7.6	0.0	0	1667.7260	124811.0267
타라 호텔	0	2.5	7.4	0.0	0	177.3446	172103.0125
르컬렉티브 강남 예술의전당 로이움	0	2.0	8.6	122867.0	0	-3512.4110	276683.4879
디에이스 호텔	0	2.5	5.4	0.0	0	563.8999	102040.8418
폭스 호텔	0	2.5	5.8	0.0	0	-2584.7720	92591.1415
프린스 호텔	0	2.5	6.0	0.0	0	855.7677	85071.6983
집 호텔	0	2.5	8.0	0.0	0	4260.3854	49331.8205
뉴데이호텔 강남	0	2.0	6.8	0.0	0	629.1424	126425.7759
더 리프 서울 사당	0	2.0	8.8	71097.0	1	13743.4459	128679.3545
30 month HOTEL	0	2.5	5.0	0.0	0	518.1367	111740.1300
신림 도미니크호텔	0	2.5	8.0	94608.0	0	4279.8768	73636.5326
포레스타 2 호텔	0	2.5	7.6	0.0	0	5861.3812	102916.5927
호텔 포레스타	0	2.5	5.2	0.0	1	8953.4300	66177.5381
킴스테이9	0	2.0	8.4	0.0	0	690.0920	40350.4544
신천 호텔 더 캐슬	0	2.5	7.6	0.0	0	1542.0254	116555.7591
대하모텔	0	2.5	6.8	0.0	0	-2217.8049	81728.0659
호텔 컬리넌	0	2.5	5.6	0.0	0	1286.1895	118619.0837
노원 럭스 호텔	0	2.0	4.0	61953.0	0	4085.6371	51351.1396
호스텔 더 까미노 서울	0	2.5	10.0	0.0	0	1825.0167	69478.1760
호텔 볼 서울	0	2.0	9.0	0.0	0	4791.3637	131436.3464
화곡 거기	0	2.5	5.0	0.0	0	107.8730	124827.0519
마인드 호텔	0	2.5	6.4	0.0	0	1340.5204	118005.0328
에이치호텔	0	2.5	7.0	0.0	0	-481.9763	135654.7735
잠실(방이) 호텔 더 캐슬	0	2.5	8.2	0.0	0	2564.0096	137785.2134
호텔 더 캐슬 2	0	2.5	6.8	0.0	1	3160.4338	120988.9330
어반이스트호텔	0	2.5	8.6	159833.0	0	-2010.2194	127880.6358
호텔 톰지 잠실	0	2.5	6.2	0.0	0	-199.6025	209571.0974
K2 모텔	0	2.5	6.0	0.0	0	427.4171	55843.3777
홈즈스테이 G밸리 가산	0	2.5	8.6	0.0	0	453.8975	100691.9325
호텔 티제이	0	2.5	5.6	0.0	0	-864.6309	69778.0382
호텔 크로아상	0	2.5	8.0	0.0	0	3644.7972	61175.3777
하모니호텔	0	2.5	8.4	0.0	0	-1894.2071	96534.0601
구리 갈매 인디 프레젠트 호텔	0	2.5	9.0	0.0	0	-171.0077	71712.2335
호텔 야자 구리 수택점	0	2.5	6.6	0.0	0	-320.1806	46349.1870
아늑 호텔 구리점	0	2.0	7.4	0.0	0	3748.9344	31469.2418
Songpa Boutique Hotel XYM	0	2.5	7.8	0.0	0	-1297.0276	104667.6944
광명 W호텔	0	2.5	9.4	0.0	0	2750.8637	74509.5027
램파트호텔	0	2.5	7.8	0.0	0	522.8071	57565.1287
골든 리버 호텔	0	2.5	7.8	74286.0	0	258.3938	78520.7571
스테이월호텔	0	2.5	8.2	0.0	0	1820.5830	96092.9773
저스트 슬립 호텔 다산 신도시점	0	2.0	7.0	54000.0	0	-55.1855	105106.9610
아일랜드캐슬 호텔&워터파크	0	2.5	9.0	0.0	0	2227.2488	68343.1921
남양주 에이원 호텔	0	2.5	8.6	0.0	0	1166.9658	87919.0810
넘버25호텔 양주송추점	0	2.5	8.2	87951.0	0	158.1965	56155.2661
로젠하임	0	2.5	7.8	0.0	0	-554.0725	75885.3400
26 호텔	0	2.0	7.8	0.0	1	-85.4451	97121.8237
27 호텔	0	2.0	7.4	0.0	0	-187.0968	97629.3757
호텔 아렌츠	0	2.5	8.2	0.0	0	3247.9829	97734.9575
케일라호텔	0	2.0	7.0	64410.0	0	1739.1130	62527.4331
성남 힐라시스 호텔 모란역	0	2.5	8.0	107994.0	0	3336.9064	45046.1139
호텔 헤드원	0	2.5	7.6	64410.0	0	358.0102	58725.8353
더 화인호텔	0	2.5	7.6	64410.0	0	123.3388	64150.6938
25호텔	0	2.5	8.8	0.0	0	1162.8639	59025.1022
하남 알로하 호텔	0	2.5	8.2	0.0	0	-1201.3130	118151.1792
호텔 소울하다 인천점	0	2.5	9.2	0.0	0	790.7841	107322.1624
호텔 소풍	0	2.5	5.8	0.0	0	2166.9548	55521.5136
호텔 야자 분당	0	2.5	7.0	93887.0	0	2127.6218	81193.2304
의정부 라트리호텔	0	2.5	8.2	88967.0	0	1666.1648	96543.4148
이코노미 호텔 인천 부평점	0	2.0	9.0	0.0	0	-877.6322	84720.8513
ON & OFF HOTEL(부평점)	0	2.5	8.4	0.0	0	621.1367	60061.9753
룩소르 호텔	0	2.5	7.2	0.0	0	1603.3234	43614.8374
아늑 호텔 인천 부평점	0	2.0	6.0	0.0	0	444.6711	55500.3531
호텔 마리골드	0	2.0	2.0	0.0	0	997.4940	51001.0581
호텔 게이트	0	2.0	7.4	0.0	0	1705.1359	64978.9128
코고라호텔	0	2.5	7.6	0.0	0	647.8768	44840.0030
부평 두루와호텔 본관	0	2.5	7.4	0.0	0	1036.6053	95190.6425
JJ 호텔	0	2.5	7.2	0.0	0	-350.1671	83370.9018
베니키아 JD 관광호텔	0	2.5	9.2	0.0	0	787.8356	74685.7897
더휴라르고펜션	0	2.5	10.0	0.0	0	1622.3789	843828.3575
파크뷰테라스 호텔	0	2.5	7.8	0.0	0	1305.1741	92813.5408
골든 호텔 인천	0	2.5	7.0	0.0	0	1152.2134	79703.8446
